Date,result
01/01/2015,2611
02/01/2015,5155
03/01/2015,1718
04/01/2015,3711
05/01/2015,5262
06/01/2015,2086
07/01/2015,3063
08/01/2015,2976
09/01/2015,4237
10/01/2015,2694
11/01/2015,3486
12/01/2015,2168
13/01/2015,5520
14/01/2015,4598
15/01/2015,5812
16/01/2015,5729
17/01/2015,4265
18/01/2015,2548
19/01/2015,4687
20/01/2015,6316
21/01/2015,5402
22/01/2015,6424
23/01/2015,4774
24/01/2015,3504
25/01/2015,5210
26/01/2015,2448
27/01/2015,4102
28/01/2015,5131
29/01/2015,4679
30/01/2015,4905
31/01/2015,3371
01/02/2015,3621
02/02/2015,3911
03/02/2015,5162
04/02/2015,6138
05/02/2015,5076
06/02/2015,5006
07/02/2015,5036
08/02/2015,6829
09/02/2015,5017
10/02/2015,5768
11/02/2015,6708
12/02/2015,5509
13/02/2015,4078
14/02/2015,3004
15/02/2015,1055
16/02/2015,1335
17/02/2015,1198
18/02/2015,3183
19/02/2015,2720
20/02/2015,2517
21/02/2015,758
22/02/2015,2021
23/02/2015,3655
24/02/2015,3921
25/02/2015,5016
26/02/2015,3531
27/02/2015,4699
28/02/2015,3294
01/03/2015,802
02/03/2015,4118
03/03/2015,3884
04/03/2015,4187
05/03/2015,560
06/03/2015,1987
07/03/2015,3271
08/03/2015,5529
09/03/2015,8175
10/03/2015,4015
11/03/2015,7909
12/03/2015,9215
13/03/2015,8084
14/03/2015,3669
15/03/2015,6668
16/03/2015,9022
17/03/2015,9246
18/03/2015,7527
19/03/2015,8202
20/03/2015,2956
21/03/2015,9436
22/03/2015,8233
23/03/2015,8134
24/03/2015,7875
25/03/2015,7553
26/03/2015,8778
27/03/2015,6141
28/03/2015,4676
29/03/2015,5861
30/03/2015,9196
31/03/2015,8198
01/04/2015,9874
02/04/2015,11273
03/04/2015,6425
04/04/2015,10433
05/04/2015,10181
06/04/2015,12638
07/04/2015,11109
08/04/2015,7437
09/04/2015,7826
10/04/2015,9393
11/04/2015,16726
12/04/2015,15724
13/04/2015,12676
14/04/2015,3824
15/04/2015,11119
16/04/2015,11687
17/04/2015,12546
18/04/2015,16004
19/04/2015,10250
20/04/2015,9066
21/04/2015,11630
22/04/2015,10540
23/04/2015,10106
24/04/2015,10370
25/04/2015,7177
26/04/2015,10327
27/04/2015,8864
28/04/2015,10995
29/04/2015,11652
30/04/2015,10255
01/05/2015,10351
02/05/2015,12570
03/05/2015,12098
04/05/2015,11987
05/05/2015,11093
06/05/2015,11483
07/05/2015,12316
08/05/2015,13427
09/05/2015,112841
10/05/2015,11089
11/05/2015,12133
12/05/2015,12056
13/05/2015,11774
14/05/2015,12615
15/05/2015,13641
16/05/2015,11196
17/05/2015,10933
18/05/2015,10442
19/05/2015,12063
20/05/2015,12981
21/05/2015,6981
22/05/2015,12522
23/05/2015,12706
24/05/2015,13564
25/05/2015,11990
26/05/2015,11351
27/05/2015,11470
28/05/2015,11625
29/05/2015,12058
30/05/2015,12657
31/05/2015,10917
01/06/2015,8101
02/06/2015,8054
03/06/2015,9879
04/06/2015,6356
05/06/2015,11075
06/06/2015,12665
07/06/2015,11661
08/06/2015,9959
09/06/2015,11764
10/06/2015,11586
11/06/2015,11844
12/06/2015,10867
13/06/2015,11754
14/06/2015,9490
15/06/2015,9975
16/06/2015,11492
17/06/2015,11173
18/06/2015,9990
19/06/2015,12019
20/06/2015,9305
21/06/2015,8775
22/06/2015,11258
23/06/2015,9184
24/06/2015,12581
25/06/2015,11119
26/06/2015,13027
27/06/2015,3301
28/06/2015,11601
29/06/2015,12191
30/06/2015,11970
01/07/2015,11223
02/07/2015,11257
03/07/2015,12791
04/07/2015,10288
05/07/2015,12199
06/07/2015,10902
07/07/2015,12223
08/07/2015,9495
09/07/2015,11045
10/07/2015,13013
11/07/2015,12420
12/07/2015,11711
13/07/2015,10224
14/07/2015,11591
15/07/2015,12088
16/07/2015,13257
17/07/2015,12627
18/07/2015,11096
19/07/2015,10148
20/07/2015,10856
