Date,PRCP,SNOW,TMAX,TMIN,TAVG,AWND
01/01/2015,0,0,8.3,-2.7,1.7,3.7
02/01/2015,0,0,9.4,1.7,5.3,1.3
03/01/2015,12.7,0,5.6,1.1,4,1.5
04/01/2015,5.1,0,19.4,5.6,,5.6
05/01/2015,0,0,11.1,-1.6,7.8,6.4
06/01/2015,5.1,61,0,-4.3,-1.9,2.2
07/01/2015,0,0,-1,-9.3,-3,6.8
08/01/2015,0,0,-3.2,-11,-8.2,5.1
09/01/2015,0,0,5.6,-3.2,-0.6,5.5
10/01/2015,0,0,-1,-7.1,-3.2,3.5
11/01/2015,0,0,6.1,-6,-1.7,2.2
12/01/2015,19.1,0,6.1,1.7,2.9,1.8
13/01/2015,0,0,5.6,-1.6,3.1,5.4
14/01/2015,0,5,0.6,-3.2,-1.2,3.6
15/01/2015,0,0,5.6,0,1.5,2.6
16/01/2015,0,0,8.9,-2.7,2.7,4.3
17/01/2015,0,0,4.4,-2.1,1.5,4
18/01/2015,15.2,0,7.2,1.1,3.2,2.2
19/01/2015,0,0,10,0.6,6.6,2.8
20/01/2015,0,0,10,-0.5,3.7,0.9
21/01/2015,2,10,3.9,1.1,2.7,2
22/01/2015,0,0,9.4,2.2,4.3,3.7
23/01/2015,16.5,0,6.1,-0.5,3.4,2.3
24/01/2015,12.2,0,7.2,2.8,3.8,4.3
25/01/2015,0,0,11.1,2.2,6.4,2.7
26/01/2015,5.3,13,7.8,-1.6,4.6,5.9
27/01/2015,0.3,3,2.8,-1,0.2,6.6
28/01/2015,0,0,3.9,-4.3,-0.6,6
29/01/2015,1.3,0,4.4,-3.2,0.1,2.6
30/01/2015,0,0,6.1,-4.9,4,6.9
31/01/2015,0,0,2.2,-6.6,-2.9,4.3
01/02/2015,1,0,6.7,-2.7,0.8,1.8
02/02/2015,2.3,0,10,-2.7,4.6,5.5
03/02/2015,0,0,3.9,-3.8,-1.4,4.2
04/02/2015,0,0,12.8,-1.6,2.9,3.9
05/02/2015,0,0,6.7,-6,3.7,7.5
06/02/2015,0,0,3.3,-8.2,-3.6,3.2
07/02/2015,0,0,10,-3.2,2.3,1.7
08/02/2015,0,0,20,1.7,6.9,2.1
09/02/2015,1.8,0,7.2,1.1,5.3,4.7
10/02/2015,0.5,0,4.4,0.6,2,6.8
11/02/2015,0,0,8.3,-1.6,2.4,3.4
12/02/2015,0,0,6.7,-6.6,2.9,5.9
13/02/2015,0,0,-1,-9.3,-5.1,5.8
14/02/2015,0,3,7.2,-7.7,-0.7,6
15/02/2015,0,0,-5.5,-11.6,-7.3,9.8
16/02/2015,7.4,74,-6.6,-12.1,-9.8,3.4
17/02/2015,5.8,46,-0.5,-8.2,-6.3,2.6
18/02/2015,0,3,1.1,-10.5,-4.2,3.5
19/02/2015,0,3,-6,-11.6,-7,7.3
20/02/2015,0,0,-5.5,-14.9,-10.6,3.9
21/02/2015,17.8,66,1.7,-9.9,-6.8,4.4
22/02/2015,2.5,0,10,1.7,3.7,1.5
23/02/2015,0,0,5,-7.1,2.1,6.6
24/02/2015,0,0,-1,-9.9,-5.8,3.8
25/02/2015,0,0,5.6,-6,-1.4,1.9
26/02/2015,3.6,56,3.9,-0.5,1.9,3.1
27/02/2015,0,0,1.7,-3.8,0.7,4.6
28/02/2015,0,0,0.6,-6.6,-3.2,2.3
01/03/2015,13,3,1.1,-4.3,-1.9,2.5
02/03/2015,0,0,7.8,0.6,3.2,4.2
03/03/2015,1,0,5,-0.5,1,4.1
04/03/2015,8.6,0,10.6,3.9,5.7,2.6
05/03/2015,22.1,122,7.2,-4.9,3.5,5.7
06/03/2015,0,0,-1,-9.3,-4.9,3.3
07/03/2015,0,0,9.4,-7.1,-1.2,3.5
08/03/2015,0,0,15,0,7.9,2.6
09/03/2015,0,0,16.7,2.8,8.4,1.3
10/03/2015,11.2,0,10,3.9,7.7,1.6
11/03/2015,0,0,19.4,7.8,11.8,2.8
12/03/2015,0,0,15.6,6.1,11.3,4
13/03/2015,0.3,0,12.8,2.8,8.1,2.2
14/03/2015,15.2,0,15.6,7.2,9.7,3.6
15/03/2015,0,0,14.4,6.7,11.7,5.7
16/03/2015,0,0,20.6,3.3,9.8,1.6
17/03/2015,0,0,22.8,4.4,14,6.5
18/03/2015,0,0,11.7,2.2,6.6,4.7
19/03/2015,0,0,11.7,3.9,7.8,1.9
20/03/2015,12.4,0,7.8,2.2,4.7,3.8
21/03/2015,0,0,16.1,1.7,6.7,2.7
22/03/2015,0,0,13.3,7.2,10.8,5.1
23/03/2015,0,0,10.6,,6.8,3.6
24/03/2015,0,0,8.3,2.8,6,2.6
25/03/2015,0,0,12.2,1.7,5.8,2.1
26/03/2015,8.9,0,25,9.4,13.9,4.7
27/03/2015,9.1,0,11.1,5,10.7,5.2
28/03/2015,0,0,5.6,-0.5,3.7,7.1
29/03/2015,0,0,9.4,-2.1,2.1,4.4
30/03/2015,0.5,0,18.9,5.6,10.4,5
31/03/2015,0.3,0,22.8,6.1,14,6.3
01/04/2015,0,0,16.1,4.4,10.1,3.8
02/04/2015,0,0,23.3,5.6,13.4,7
03/04/2015,4.8,0,22.8,16.1,19.2,5.5
04/04/2015,1.3,0,20,7.2,16.3,6.2
05/04/2015,0,0,20.6,4.4,12.6,4.9
06/04/2015,0,0,25,8.9,16.3,4.8
07/04/2015,4.3,0,22.8,11.7,18.9,3.6
08/04/2015,3.3,0,11.7,7.2,11.8,5
09/04/2015,1,0,10,7.2,8.3,3.7
10/04/2015,0.3,0,20,7.2,10.3,3.1
11/04/2015,0,0,20,10.6,17.1,4.9
12/04/2015,0,0,21.1,6.1,14.6,2.2
13/04/2015,0,0,26.7,11.1,17.6,5.4
14/04/2015,16.3,0,19.4,12.2,17.4,3.4
15/04/2015,0,0,20,11.1,15.2,3.1
16/04/2015,1,0,23.3,11.1,16.9,2.8
17/04/2015,0.8,0,26.1,15,19.2,2.6
18/04/2015,0,0,128.9,16.1,21.9,1.7
19/04/2015,9.4,0,20.6,12.8,19,6
20/04/2015,19.6,0,27.8,13.9,19.5,5.2
21/04/2015,4.1,0,21.7,12.2,18.3,5.1
22/04/2015,0,0,23.3,10.6,15.8,5.3
23/04/2015,0,0,15.6,7.2,12,5.5
24/04/2015,0,0,17.2,3.9,10.3,5.7
25/04/2015,6.9,0,11.7,7.2,10.6,2.8
26/04/2015,0,0,19.4,7.2,11.6,2.1
27/04/2015,0,0,16.7,8.3,13.3,5.5
28/04/2015,0,0,22.2,8.9,14.6,5.2
29/04/2015,0,0,25.6,11.1,18.6,1.8
30/04/2015,13.7,0,23.3,13.3,18.3,2.9
01/05/2015,2.8,0,17.8,12.2,15.1,3.2
02/05/2015,0,0,25.6,10.6,16.7,2.2
03/05/2015,0,0,28.9,13.3,20.3,2.1
04/05/2015,0,0,28.9,13.3,21.4,4.3
05/05/2015,1.3,0,30,17.8,22.9,3.1
06/05/2015,0,0,28.3,17.8,22.3,2.4
07/05/2015,0,0,27.2,16.7,21.9,2.5
08/05/2015,0,0,28.9,17.8,22.9,2.1
09/05/2015,0,0,28.3,18.3,22.6,2.9
10/05/2015,0,0,29.4,20.6,24.6,3
11/05/2015,0,0,28.3,21.7,24.4,2.2
12/05/2015,0,0,32.2,21.7,26,4.7
13/05/2015,0,0,22.2,13.3,20.7,7
14/05/2015,0,0,22.8,11.7,16.6,3.2
15/05/2015,0,0,25.6,14.4,19.1,4.5
16/05/2015,16.8,0,31.1,19.4,23.4,3.5
17/05/2015,0,0,30.6,21.1,24.3,2
18/05/2015,19.3,0,33.3,22.2,27.2,2.2
19/05/2015,0,0,32.2,22.2,26.6,2.7
20/05/2015,0,0,23.9,16.7,22.2,6.6
21/05/2015,8.4,0,17.2,11.7,15.3,3.2
22/05/2015,0,0,26.1,11.1,17.2,4.7
23/05/2015,0,0,23.9,12.2,19.1,3.5
24/05/2015,0,0,27.8,13.9,20.4,3.6
25/05/2015,0,0,29.4,19.4,24.4,5.2
26/05/2015,0,0,31.1,20.6,25.3,4.9
27/05/2015,0.3,0,32.2,23.9,26.5,3.9
28/05/2015,0,0,33.3,22.8,26.9,2.8
29/05/2015,0,0,30.6,23.3,25.9,3.4
30/05/2015,0,0,32.2,22.2,26.7,4.9
31/05/2015,0,0,33.3,23.3,27.3,5.3
01/06/2015,63.2,0,33.3,21.7,27.2,3.7
02/06/2015,11.7,0,22.2,15.6,20,4.8
03/06/2015,0.3,0,17.8,15,16.2,4.7
04/06/2015,9.4,0,18.3,15,16.8,4.3
05/06/2015,0.8,0,23.9,15.6,18.2,2.2
06/06/2015,0,0,29.4,18.3,22.9,4
07/06/2015,0,0,26.1,19.4,23.2,4.1
08/06/2015,16.5,0,31.1,18.3,23.6,5.7
09/06/2015,0,0,31.7,22.2,25.9,5.2
10/06/2015,0,0,28.9,20,25.6,3.2
11/06/2015,0,0,33.9,21.7,26.8,3.5
12/06/2015,0.5,0,34.4,25,29.3,4.3
13/06/2015,0,0,33.3,23.9,28.3,2.7
14/06/2015,13.2,0,33.9,25.6,29.5,2.2
15/06/2015,2,0,33.9,25.6,28.6,2.7
16/06/2015,0,0,35.6,25,29.8,4.1
17/06/2015,4.6,0,28.9,23.3,26.8,2.2
18/06/2015,13.5,0,32.8,22.2,25.8,2.8
19/06/2015,3,0,31.7,22.8,26.9,3.1
20/06/2015,60.2,0,33.3,23.3,27.9,2.9
21/06/2015,0.8,0,34.4,24.4,28.2,4.1
22/06/2015,0,0,34.4,25.6,30.4,3.4
23/06/2015,21.3,0,35.6,23.9,30.3,4.7
24/06/2015,0,0,30,21.1,25.5,3.8
25/06/2015,12.2,0,30.6,21.1,26.4,2.6
26/06/2015,0,0,28.3,20.6,24.4,2.6
27/06/2015,69.9,0,25.6,20.6,23.2,4.7
28/06/2015,0,0,27.8,19.4,23.1,3.8
29/06/2015,0,0,28.9,17.2,23.6,3.4
30/06/2015,0.3,0,31.7,21.7,25.8,4
01/07/2015,33,0,31.1,20.6,25.7,3.1
02/07/2015,0.5,0,25,20,23.9,1.9
03/07/2015,0.8,0,28.3,18.9,23.6,1.7
04/07/2015,21.6,0,29.4,22.2,24.2,1.4
05/07/2015,0,0,30.6,21.7,25.1,1.7
06/07/2015,0.5,0,31.7,24.4,27.2,3.2
07/07/2015,0,0,32.8,23.9,27.6,3.7
08/07/2015,28.4,0,33.3,25.6,28.1,3.6
09/07/2015,0.8,0,33.3,25.6,28.4,3.3
10/07/2015,0,0,31.1,25,28.4,4.3
11/07/2015,2.3,0,31.1,23.9,27.2,2.2
12/07/2015,0,0,31.1,21.1,26.6,2
13/07/2015,0.8,0,27.8,23.3,25.7,2
14/07/2015,0,0,31.7,24.4,27.1,3.2
15/07/2015,0.3,0,31.1,22.2,27.3,4.8
16/07/2015,0,0,30.6,18.9,24.6,3
17/07/2015,0,0,29.4,21.7,25.1,3.7
18/07/2015,1,0,31.1,25,27.3,3.5
19/07/2015,0,0,36.7,26.1,30,2.6
20/07/2015,0,0,36.1,27.8,31.6,3.1
21/07/2015,0,0,33.3,26.1,30.9,3
22/07/2015,0,0,31.7,22.2,27.6,4.2
23/07/2015,0,0,31.1,21.7,26.7,2.9
24/07/2015,0,0,32.2,20.6,26.9,3
25/07/2015,0,0,32.2,22.2,27.3,3.3
26/07/2015,0,0,32.8,23.3,27.9,5.1
27/07/2015,23.9,0,32.2,22.8,27.7,2.6
28/07/2015,0,0,34.4,25,28.6,1.9
29/07/2015,0,0,33.3,25.6,28.6,3.8
30/07/2015,13.5,0,33.3,25.6,28.6,3.6
31/07/2015,0,0,33.3,23.3,28.7,3.5
01/08/2015,0,0,33.3,23.3,28.4,3.1
02/08/2015,0,0,32.8,22.8,27.9,2.9
03/08/2015,0,0,33.9,22.2,27.7,4.3
04/08/2015,1,0,35.6,24.4,29.9,3.3
05/08/2015,0,0,33.9,23.9,28.6,2.8
06/08/2015,0,0,29.4,23.9,27.2,3.4
07/08/2015,1.3,0,28.3,21.1,24.8,3.8
08/08/2015,0,0,31.1,23.3,26.7,3.7
09/08/2015,0,0,31.7,22.2,26.4,3.3
10/08/2015,3.8,0,26.1,22.2,24.6,4.7
11/08/2015,8.6,0,32.2,22.8,25.9,-4.1
12/08/2015,0,0,29.4,21.1,25.9,4.7
13/08/2015,,0,29.4,20,24.8,2.9
14/08/2015,0,0,31.1,17.8,24.4,2
15/08/2015,0,0,32.2,20,25.3,3.4
16/08/2015,0,0,34.4,20.6,26.1,3.1
17/08/2015,0,0,35.6,22.2,27.7,3.6
18/08/2015,0,0,32.2,23.3,27.4,2.9
19/08/2015,0,0,32.8,25,27.6,4.3
20/08/2015,4.3,0,30,23.3,26.9,3.5
21/08/2015,0,0,30,21.7,25.3,4.1
22/08/2015,0,0,30,18.3,24.4,2.7
23/08/2015,0,0,29.4,17.8,23.9,2.3
24/08/2015,10.4,0,32.8,21.7,26.1,3.2
25/08/2015,0,0,29.4,20.6,24.9,3.7
26/08/2015,0,0,27.8,19.4,23.3,3.5
27/08/2015,0,0,27.8,17.2,22.6,3
28/08/2015,0,0,28.3,18.3,23.4,1.8
29/08/2015,0,0,31.7,19.4,25.1,4.3
30/08/2015,0,0,30.6,20.6,24.8,3.4
31/08/2015,0,0,31.1,23.3,26.8,3.6
01/09/2015,0,0,35,21.7,27.6,1.9
02/09/2015,0,0,34.4,23.9,28.4,2.2
03/09/2015,0,0,35.6,23.3,27.9,2.2
04/09/2015,0,0,33.3,23.9,28,3.3
05/09/2015,0,0,30,22.8,26.2,3.6
06/09/2015,0,0,30.6,20,24.9,2.1
07/09/2015,0,0,32.2,20.6,25.9,2.7
08/09/2015,0,0,33.3,22.2,27.6,3.9
09/09/2015,0,0,34.4,23.9,28.3,3.8
