100 42
-31.360128 27.938188 0.794199
-8.816144 41.064286 0.291865
35.977041 21.671468 0.483563
32.655371 26.412625 0.732064
38.188935 17.481568 0.526299
32.974664 26.012910 0.811154
-41.793543 4.159300 0.460324
23.789735 34.612837 0.459843
-27.520224 31.727548 0.370078
41.174924 8.284061 0.635220
-36.963536 19.942342 0.233864
-22.513611 35.456132 0.738450
-15.150790 39.172102 0.273630
-39.438452 14.443285 0.371781
-18.686375 37.614085 0.821323
35.529182 22.398152 0.703022
-40.451674 11.298763 0.274952
-2.654143 41.916053 0.346401
29.037681 30.344902 0.288868
40.084675 12.538694 0.777230
35.313045 22.737389 0.538846
9.771339 40.847533 0.215416
-39.345192 14.695438 0.210168
-20.523628 36.643972 0.252746
-20.164142 36.843010 0.839937
-14.453032 39.434881 0.774103
35.908284 21.785205 0.267611
27.755132 31.522257 0.632634
36.185065 21.322314 0.754139
40.399872 11.482610 0.813581
19.985399 36.940274 0.738168
39.677488 13.773051 0.706504
-3.513297 41.852798 0.390260
-40.008520 12.779605 0.498954
-24.010957 34.459744 0.240685
6.771424 41.450547 0.691946
-41.953711 1.971322 0.219417
39.381335 14.598302 0.324325
39.231293 14.996854 0.410872
28.612558 30.746081 0.540317
23.679861 34.688098 0.422954
-7.701890 41.287781 0.505806
-37.343932 19.220581 0.543791
41.601363 5.772920 0.747323
39.983677 12.857121 0.631063
41.206121 8.127461 0.312229
25.323173 33.507267 0.241459
25.012743 33.739631 0.683995
-7.470559 41.330264 0.396338
30.293872 29.090915 0.322947
18.033550 37.931400 0.373541
-41.999480 0.208900 0.362420
-40.462776 11.258940 0.375043
22.224070 35.638332 0.597851
-41.698173 5.026168 0.510600
1.476020 41.974056 0.755437
19.057145 37.427600 0.821056
-17.392152 38.229740 0.235339
-41.582109 5.910012 0.808292
11.684300 40.342002 0.373021
-40.424272 11.396414 0.631516
-25.094735 33.678692 0.732885
-37.736278 18.438366 0.640145
33.771786 24.969311 0.444444
-36.711947 20.401788 0.330216
-41.275720 7.766272 0.754384
-41.402447 7.059560 0.486579
41.596968 5.804505 0.229242
36.651326 20.510493 0.254204
41.993367 0.746396 0.450449
-26.845940 32.300085 0.616921
11.162997 40.489350 0.374065
9.051151 41.013128 0.520310
-41.041310 8.922491 0.706969
-20.770074 36.504849 0.832954
38.801198 16.076909 0.275584
-14.660948 39.358056 0.299083
27.734212 31.540664 0.663944
9.441130 40.925115 0.544210
6.352988 41.516738 0.295343
41.412059 7.002957 0.448798
27.593879 31.663510 0.661682
36.913041 20.035653 0.560206
13.411536 39.801139 0.686033
8.809662 41.065677 0.234752
21.946612 35.809862 0.700619
36.540890 20.706601 0.414048
-41.702050 4.993900 0.706711
-32.769681 26.270668 0.364321
21.259316 36.222113 0.498709
3.322741 41.868358 0.225179
-23.461390 34.836234 0.734105
-16.091075 38.795326 0.740832
36.388216 20.973740 0.679620
3.740174 41.833134 0.455175
-9.019529 41.020094 0.340261
41.621400 5.626635 0.768729
23.484566 34.820614 0.247212
41.989777 0.926615 0.419110
29.365090 30.028178 0.304517
